No.Sim,Period[s],AmpR[V],AmpS[V],AmpT[V],Fault_type,R_fault[ohm],Fault_dist[m],Fault_time[us]
181,1e-07,24.0,24.0,24.0,7,1000.00,12,0.08
182,1e-07,24.0,24.0,24.0,7,1000.00,40,0.27
183,1e-07,24.0,24.0,24.0,7,1000.00,283,1.89
184,1e-07,24.0,24.0,24.0,7,1000.00,933,6.22
185,1e-07,24.0,24.0,24.0,7,1000.00,757,5.05
186,1e-07,24.0,24.0,24.0,7,1000.00,1833,12.23
187,1e-07,24.0,24.0,24.0,7,1000.00,1274,8.50
188,1e-07,24.0,24.0,24.0,7,1000.00,594,3.96
189,1e-07,24.0,24.0,24.0,7,1000.00,968,6.46
190,1e-07,24.0,24.0,24.0,7,1000.00,649,4.33
191,1e-07,24.0,24.0,24.0,8,1000.00,12,0.08
192,1e-07,24.0,24.0,24.0,8,1000.00,40,0.27
193,1e-07,24.0,24.0,24.0,8,1000.00,283,1.89
194,1e-07,24.0,24.0,24.0,8,1000.00,933,6.22
195,1e-07,24.0,24.0,24.0,8,1000.00,757,5.05
196,1e-07,24.0,24.0,24.0,8,1000.00,1833,12.23
197,1e-07,24.0,24.0,24.0,8,1000.00,1274,8.50
198,1e-07,24.0,24.0,24.0,8,1000.00,594,3.96
199,1e-07,24.0,24.0,24.0,8,1000.00,968,6.46
200,1e-07,24.0,24.0,24.0,8,1000.00,649,4.33
